month,n,model_brier,baseline_brier,model_logloss,baseline_logloss,brier_edge_pct,logloss_edge_pct
1,310,0.0883,0.0892,0.3165,0.3199,0.9452,1.0531
2,283,0.0864,0.0873,0.3079,0.312,1.0132,1.3181
3,310,0.0871,0.0873,0.311,0.312,0.2185,0.324
4,300,0.0871,0.0872,0.3112,0.3124,0.1287,0.3941
5,310,0.0882,0.0886,0.3166,0.3188,0.4462,0.6983
6,300,0.0901,0.0905,0.3255,0.3275,0.4586,0.6147
7,310,0.089,0.0897,0.3192,0.3236,0.7819,1.3547
8,310,0.0894,0.0899,0.3218,0.3244,0.4785,0.8146
9,300,0.0894,0.0892,0.3214,0.3208,-0.1643,-0.186
10,310,0.0893,0.0899,0.3209,0.3242,0.7599,1.0153
11,300,0.0884,0.0887,0.3168,0.3185,0.35,0.5322
12,310,0.0872,0.0877,0.312,0.3141,0.5984,0.6745
